,country,name,latitude,longitude,primary_fuel,capacity_mw
93,ARG,AGUA DEL CAJON (GENERADOR DEL MEM),-38.9368,-68.3556,Gas,192.0
97,ARG,ALTO VALLE,-38.9524,-68.0218,Gas,97.5
120,ARG,CENTRAL LOMA DE LA LATA SA,-38.5127,-68.6048,Gas,540.0
122,ARG,CENTRAL T.GENELBA,-34.9027,-58.7334,Gas,673.6
123,ARG,CENTRAL T.GENELBA PLUS,-34.9027,-58.7334,Gas,164.55
124,ARG,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),-31.7112,-60.7811,Gas,280.0
125,ARG,CENTRAL TERMICA DE CICLO COMBINADO SALTA,-24.7456,-65.0513,Gas,643.0
127,ARG,CENTRAL TERMICA LA BANDA,-27.7528,-64.2655,Gas,32.0
130,ARG,CENTRAL TERMOELECTRICA GUILLERMO BROWN,-34.6268,-58.5438,Gas,524.0
131,ARG,CENTRAL TERMOELECTRICA MANUEL BELGRANO,-24.6894,-65.0425,Gas,868.2
132,ARG,CENTRAL TERMOELECTRICA TIMBUES,-32.5778,-60.791,Gas,865.1400000000001
138,ARG,COMODORO RIVADAVIA,-25.9913,-54.6278,Gas,141.02
142,ARG,CRUZ DE PIEDRA,-33.0349,-68.7971,Gas,17.94
144,ARG,CT 13 DE JULIO,-32.1613,-64.1537,Gas,26.0
153,ARG,CT BRAGADO,-35.1364,-60.4311,Gas,49.8
162,ARG,CT CONCEPCION DEL URUGUAY,-32.4767,-58.2672,Gas,41.78
165,ARG,CT ENSENADA DE BARRAGAN,-34.8597,-57.9557,Gas,567.0
170,ARG,CT INDEPENDENCIA,-26.8666,-65.2247,Gas,120.0
180,ARG,CT LAS ARMAS,-37.0781,-57.8181,Gas,10.4
181,ARG,CT LAS ARMAS II,-37.0781,-57.8181,Gas,23.37
187,ARG,CT MATHEU,-34.3931,-58.8372,Gas,41.0
190,ARG,CT OLAVARRIA,-36.9439,-60.2361,Gas,38.8
192,ARG,CT PARANA,-31.7764,-60.4553,Gas,40.0
196,ARG,CT PINAMAR,-37.0953,-56.8789,Gas,21.0
198,ARG,CT PLUSPETROL NORTE,-26.9955,-65.166,Gas,246.0
201,ARG,CT ROCA,-31.8919,-60.0106,Gas,130.0
206,ARG,CT SAN MIGUEL DE TUCUMAN,-26.9955,-65.166,Gas,396.62
212,ARG,CT TUCUMAN,-26.9955,-65.166,Gas,438.0
221,ARG,DEAN FUNES,-31.3934,-64.2059,Gas,70.12
222,ARG,DIQUE,-34.8902,-57.933,Gas,68.44
223,ARG,DOCK SUD,-34.6533,-58.342,Gas,872.3
232,ARG,EX CENTRAL BUENOS AIRES,-34.627,-58.3382,Gas,321.0
233,ARG,FILO MORADO,-37.2742,-69.652,Gas,67.5
237,ARG,GENERACION FRIAS SA,-28.6072,-65.1228,Gas,60.0
239,ARG,GENERAL LEVALLE,-34.0364,-63.9217,Gas,72.78
242,ARG,GOYA (ELECTROPATAGONIA SA),-29.1388,-59.2277,Gas,17.3
251,ARG,LA PLATA COGENERACION,-34.889,-57.9206,Gas,128.0
253,ARG,LA TABLADA,-27.4184,-55.9097,Gas,22.15
261,ARG,LUJAN DE CUYO,-33.0551,-68.981,Gas,549.76
262,ARG,MAR DE AJO,-36.7208,-63.1977,Gas,34.0
263,ARG,MAR DEL PLATA (9 DE JULIO),-38.0495,-57.546,Gas,201.3
267,ARG,MODESTO MARANZANA,-33.1608,-64.3656,Gas,250.0
274,ARG,NUEVO PUERTO,-34.5721,-58.3835,Gas,1217.7
275,ARG,OBERA (TG Nº21 FIAT ),-27.5019,-55.1245,Gas,17.2
286,ARG,PATAGONIA,-45.7934,-67.5145,Gas,123.7
289,ARG,PICO TRUNCADO I,-46.7842,-67.9498,Gas,45.6
292,ARG,PILAR  BICENTENARIO,-31.6651,-63.8314,Gas,467.0
296,ARG,PRESIDENTE SARMIENTO,-31.5129,-68.5399,Gas,31.5
298,ARG,PUERTO MADRYN,-42.7069,-65.1048,Gas,42.0
303,ARG,RIO CUARTO,-33.1614,-64.3649,Gas,35.57
308,ARG,SAN FRANCISCO,-31.4391,-62.1119,Gas,40.0
316,ARG,SUDOESTE,-31.463,-64.2388,Gas,140.0
318,ARG,TARTAGAL,-22.5099,-63.797,Gas,17.0
319,ARG,TENARIS SIDERCA CETE II,-33.3655,-60.1435,Gas,163.20000000000002
324,ARG,VILLA GESELL,-37.2487,-56.9973,Gas,130.0
325,ARG,VILLA MARIA (LAS PLAYAS),-39.0872,-67.0881,Gas,48.0
326,ARG,VUELTA DE OBLIGADO,-32.5807,-60.7903,Gas,560.0
