,country,name,latitude,longitude,primary_fuel,capacity_mw
94,ARG,AGUA DEL TORO,-34.5792,-68.9892,Hydro,130.0
95,ARG,ALICURA,-40.58,-70.7489,Hydro,1050.0
99,ARG,ALVAREZ CONDARCO,-33.0452,-69.0516,Hydro,50.7
100,ARG,ARROYITO,-39.1009,-68.5982,Hydro,128.0
105,ARG,BENJAMIN REOLIN,-32.1883,-64.3233,Hydro,38.4
110,ARG,CABRA CORRAL,-25.2712,-65.3298,Hydro,102.0
111,ARG,CACHEUTA (NUEVA),-33.0291,-69.1109,Hydro,120.0
117,ARG,CASA DE PIEDRA,-38.2143,-67.1908,Hydro,60.0
118,ARG,CASSAFFOUSTH,-31.3992,-64.2006,Hydro,17.28
133,ARG,CH LOS CARACOLES,-31.5192,-68.9814,Hydro,121.4
136,ARG,CIPOLLETTI,-38.9121,-67.9427,Hydro,5.78
217,ARG,CUESTA DEL VIENTO,-30.1833,-69.0667,Hydro,10.55
224,ARG,EL CADILLAL,-26.6156,-65.1929,Hydro,14.0
225,ARG,EL CARRIZAL,-33.2993,-68.7199,Hydro,17.0
226,ARG,EL CHOCON,-39.2577,-68.7483,Hydro,1200.0
227,ARG,EL TIGRE,-34.61,-68.6136,Hydro,14.4
228,ARG,EL TUNAL,-25.2323,-64.4762,Hydro,11.0
230,ARG,ESCABA,-27.6589,-65.7633,Hydro,24.0
234,ARG,FITZ SIMON,-32.1784,-64.4207,Hydro,10.8
235,ARG,FLORENTINO AMEGHINO,-43.6996,-66.4815,Hydro,60.0
236,ARG,FUTALEUFU,-43.1288,-71.63,Hydro,472.0
240,ARG,GENERAL SAN MARTIN,-33.0449,-68.9219,Hydro,6.0
243,ARG,GUILLERMO CESPEDES,-39.56,-65.6817,Hydro,5.2
244,ARG,H. PICHI PICUN LEUFU,-40.012,-69.9918,Hydro,285.0
249,ARG,JULIAN  ROMERO,-38.8367,-68.038,Hydro,6.2
254,ARG,LA VIÑA,-31.8708,-65.0349,Hydro,16.0
255,ARG,LAS MADERAS,-24.4438,-65.2203,Hydro,30.0
256,ARG,LOS CORONELES (EX 25  DE MAYO),-34.6,-68.5285,Hydro,6.6000000000000005
257,ARG,LOS MOLINOS I,-31.838,-64.4452,Hydro,59.04
258,ARG,LOS MOLINOS II,-31.838,-64.4452,Hydro,4.5
259,ARG,LOS QUIROGA,-27.6509,-64.3618,Hydro,2.5
260,ARG,LOS REYUNOS,-34.6028,-68.6383,Hydro,224.0
269,ARG,NIHUIL I,-34.9907,-68.6237,Hydro,74.24
270,ARG,NIHUIL II,-34.9039,-68.6177,Hydro,133.12
271,ARG,NIHUIL III,-34.8821,-68.576,Hydro,52.0
272,ARG,NIHUIL IV,-34.833,-68.5168,Hydro,22.4
290,ARG,PIEDRA DEL AGUILA (CPSA),-31.6651,-63.8314,Hydro,1400.0
291,ARG,PIEDRAS MORAS,-32.1675,-64.2438,Hydro,6.3
294,ARG,PLANICIE BANDERITA,-28.5339,-65.7997,Hydro,472.0
297,ARG,PUEBLO VIEJO,-27.1149,-65.7523,Hydro,19.2
301,ARG,QUEBRADA DE ULLUM,-31.2567,-61.5203,Hydro,45.0
302,ARG,RIO CORRALITO,-24.983,-65.686,Hydro,13.2
304,ARG,RIO GRANDE,-53.7862,-67.7222,Hydro,750.0
305,ARG,RIO HONDO,-27.5225,-64.8861,Hydro,19.0
306,ARG,SALTO ANDERSEN,-38.8244,-64.8296,Hydro,7.9
307,ARG,SALTO GRANDE (MITAD ARGENTINA),-31.3891,-68.6752,Hydro,945.0
312,ARG,SAN ROQUE,-31.3533,-64.3938,Hydro,26.0
321,ARG,ULLUM,-31.4557,-68.7556,Hydro,42.0
322,ARG,URUGUA-I,-25.8766,-54.5687,Hydro,120.0
327,ARG,YACYRETA,-27.4827,-56.7397,Hydro,1550.0
