,country,name,latitude,longitude,primary_fuel,capacity_mw
96,ARG,ALMIRANTE BROWN,-34.8386,-58.4033,Oil,25.0
98,ARG,ALUMINE,-39.2145,-70.9157,Oil,1.904
103,ARG,BANDERA,-23.8219,-64.7847,Oil,31.0
104,ARG,BARILOCHE (PUERTO  MORENO),-41.1167,-71.4167,Oil,5.736000000000001
106,ARG,BERNARDO  DE IRIGOYEN,-26.2545,-53.6469,Oil,2.096
107,ARG,C.T. RUFINO,-34.2605,-62.7107,Oil,31.9
108,ARG,C.T. SAN VICENTE,-35.0241,-58.4237,Oil,27.6
109,ARG,CAA CATI,-27.7534,-57.6205,Oil,1.415
112,ARG,CACHI,-25.1089,-66.2106,Oil,1.07
113,ARG,CAFAYATE,-26.0715,-65.9876,Oil,4.182
114,ARG,CAPITAL CATAMARCA - PREDIO CHOYA,-28.4537,-65.7841,Oil,5.728
115,ARG,CAPITAL CATAMARCA - PREDIO EX CARCEL,-28.4773,-65.7872,Oil,7.075
116,ARG,CAPITAL CATAMARCA - PREDIO RIPIERA,-28.4684,-65.7797,Oil,4.675
121,ARG,CENTRAL PARQUE INDUSTRIAL LA BANDA,-38.062,-67.9463,Oil,11.228
128,ARG,CENTRAL TERMICA PIQUIRENDA SA,-22.3497,-63.7664,Oil,30.44
129,ARG,CENTRAL TERMICA REMEDIOS DE ESCALADA,-34.7208,-58.3881,Oil,25.0
134,ARG,CHILECITO,-29.1578,-67.5069,Oil,5.0
137,ARG,COMANDANTE ANDRESITO,-25.6669,-54.0419,Oil,2.372
140,ARG,CORRIENTES,-27.4708,-58.8042,Oil,1.4
143,ARG,CRUZ DEL EJE,-30.7636,-64.7538,Oil,5.052
145,ARG,CT ALEM,-43.0907,-65.2298,Oil,15.0
146,ARG,CT ALUMINE,-38.8706,-70.5753,Oil,6.3
147,ARG,CT ARISTOBULO DEL VALLE,-27.0922,-54.8625,Oil,15.0
148,ARG,CT ARRECIFES,-34.0414,-60.1297,Oil,20.0
149,ARG,CT AÑATUYA,-28.4431,-62.8569,Oil,19.2
150,ARG,CT AÑATUYA II,-28.4431,-62.8569,Oil,11.5
151,ARG,CT BARILOCHE,-41.1497,-71.2633,Oil,20.0
152,ARG,CT BELL VILLE,-32.6103,-62.6864,Oil,15.62
154,ARG,CT CAPITAN SARMIENTO,-34.1636,-59.7683,Oil,5.0
155,ARG,CT CATAMARCA,-28.4706,-65.7647,Oil,19.2
156,ARG,CT CAVIAHUE,-38.0528,-70.6136,Oil,5.0
157,ARG,CT CERES,-29.8883,-61.9297,Oil,18.0
158,ARG,CT CHARATA,-27.2369,-61.1939,Oil,19.4
159,ARG,CT CHILECITO,-29.1581,-67.5072,Oil,10.0
160,ARG,CT CIPOLLETTI,-38.9133,-67.9414,Oil,5.0
161,ARG,CT COLON BUENOS AIRES,-33.9222,-61.0769,Oil,15.3
163,ARG,CT CORRIENTES,-27.4708,-58.8042,Oil,20.0
166,ARG,CT ESQUINA,-30.055,-59.5294,Oil,16.5
167,ARG,CT FORMOSA II,-26.1764,-58.2094,Oil,30.0
168,ARG,CT GENERAL VILLEGAS,-35.0347,-62.9981,Oil,23.49
169,ARG,CT GOYA,-29.1583,-59.2728,Oil,13.0
171,ARG,CT INGENIERO JUAREZ,-23.9078,-61.8342,Oil,4.0
172,ARG,CT INTA CATAMARCA,-28.4733,-65.7275,Oil,7.04
173,ARG,CT ISLA VERDE,-33.2425,-62.395,Oil,24.5
