,country,name,latitude,longitude,primary_fuel,capacity_mw
139,ARG,COMODORO RIVADAVIA - ANTONIO MORAN,-45.8467,-67.4964,Wind,16.56
238,ARG,GENERAL ACHA,-37.4309,-64.716,Wind,1.8
264,ARG,MAYOR BURATOVICH,-39.2291,-62.6497,Wind,2.02
278,ARG,PARQUE EOLICO ARAUCO SAPEM I,-28.6684,-66.7524,Wind,25.2
279,ARG,PARQUE EOLICO ARAUCO SAPEM II,-28.6684,-66.7524,Wind,25.2
280,ARG,PARQUE EOLICO DIADEMA,-45.7458,-67.6953,Wind,6.3
281,ARG,PARQUE EOLICO EL TORDILLO,-45.8507,-67.9081,Wind,3.0
282,ARG,PARQUE EOLICO LOMA BLANCA IV (ENARSA),-43.0907,-65.2298,Wind,50.0
283,ARG,PARQUE EOLICO RAWSON I (ENARSA),-43.3522,-65.1734,Wind,48.6
284,ARG,PARQUE EOLICO RAWSON II (ENARSA),-43.3522,-65.1734,Wind,28.8
288,ARG,PICO TRUNCADO - JORGE ROMANUTTI,-46.8065,-67.9808,Wind,2.4
300,ARG,PUNTA ALTA - CENTENARIO,-38.7833,-61.8984,Wind,1.8
